TransectNum,date,year,stratum,Rank,Observer,Point,StartTime,TimePeriod,Common Name,BirdCode,radialDistance,How,Sex,visual,Migrant,CL_Count,CL_ID,88,PtVisitZone,PtVisitEasting,PtVisitNorthing,MgmtEntity,MgmtRegion,MgmtUnit,MgmtForest,MgmtDistrict,County,State,BCR,primaryHabitat
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,1,Grasshopper Sparrow,GRSP,31,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,1,Turkey Vulture,TUVU,415,V,U,1,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,1,Western Meadowlark,WEME,62,CS,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,1,Western Meadowlark,WEME,88,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,5/18/2017,2017,TX-BCR18-AO,11,RUBIA,2,710,1,Western Meadowlark,WEME,52,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,1,Grasshopper Sparrow,GRSP,16,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,1,Western Meadowlark,WEME,44,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,5/18/2017,2017,TX-BCR18-AO,11,RUBIA,2,710,1,Grasshopper Sparrow,GRSP,66,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,5/18/2017,2017,TX-BCR18-AO,11,RUBIA,2,710,1,Western Meadowlark,WEME,93,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,5/18/2017,2017,TX-BCR18-AO,11,RUBIA,2,710,1,Western Meadowlark,WEME,152,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,5/18/2017,2017,TX-BCR18-AO,11,RUBIA,2,710,1,Western Meadowlark,WEME,155,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,2,Horned Lark,HOLA,45,V,U,1,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,2,Horned Lark,HOLA,77,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,4/27/2016,2016,TX-BCR18-AO,11,JMCMA,2,741,2,Western Meadowlark,WEME,39,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
TX-BCR18-AO11,5/18/2017,2017,TX-BCR18-AO,11,RUBIA,2,710,2,Horned Lark,HOLA,101,S,U,0,0,1,,0,14,262625,3922875,All Other Lands,n/a,n/a,n/a,n/a,Carson,TX,18,GR
